"","age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"age",1,-0.163658418932815,-0.163438068925277,0.0706407211645257,-0.00414003681618629,0.243665376641719,0.0539400958774425,0.0164343888386654,0.126963879642944,0.131124604717549,0.117276052426514,-0.0621873685174501,0.17523007904603,-0.0640814974470739,-0.14347404903546,-0.16157943813834
"Medu",-0.163658418932815,1,0.623455112080647,-0.171639304697029,0.0649441367103017,-0.236679962616543,-0.0039144584287544,0.0308908665674083,0.0640944381931028,0.0198340985656392,-0.0471234596948513,-0.0468778294016664,0.100284817687823,0.205340996738588,0.215527167630903,0.217147496138606
"Fedu",-0.163438068925277,0.623455112080647,1,-0.1581940541571,-0.00917463890194924,-0.250408444456777,-0.0013697268092251,-0.0128455280190137,0.0431046683694936,0.00238642940814584,-0.0126310179464743,0.0147415372671785,0.0244728870159692,0.190269935557869,0.164893393399233,0.152456938904259
"traveltime",0.0706407211645257,-0.171639304697029,-0.1581940541571,1,-0.100909119283976,0.0922387462095116,-0.0168079863761515,-0.0170249442321422,0.0285396741067248,0.138325308989495,0.134115751645286,0.00750060603037426,-0.0129437751566286,-0.0930399915823215,-0.153197963317217,-0.117142052816149
"studytime",-0.00414003681618629,0.0649441367103017,-0.00917463890194924,-0.100909119283976,1,-0.173563031415976,0.0397307038399177,-0.143198407167952,-0.0639036750144113,-0.19601926349476,-0.253784730830283,-0.0756158630189092,-0.0627001754032398,0.160611915454696,0.13587999921449,0.0978196896531963
"failures",0.243665376641719,-0.236679962616543,-0.250408444456777,0.0922387462095116,-0.173563031415976,1,-0.0443366262654354,0.0919874709885587,0.124560921934027,0.136046931216546,0.141962029985715,0.0658272817210175,0.0637258325390598,-0.354717613015635,-0.355895634552574,-0.36041494046165
"famrel",0.0539400958774425,-0.0039144584287544,-0.0013697268092251,-0.0168079863761515,0.0397307038399177,-0.0443366262654354,1,0.150701443779051,0.0645684106311221,-0.0775943574069267,-0.113397308366576,0.0940557283224219,-0.0443540946040254,0.0221683156154967,-0.0182813471531544,0.0513634288812822
"freetime",0.0164343888386654,0.0308908665674083,-0.0128455280190137,-0.0170249442321422,-0.143198407167952,0.0919874709885587,0.150701443779051,1,0.285018714968203,0.209000848353201,0.147821812839952,0.0757333570108621,-0.0580779220848171,0.0126129302331352,-0.0137771385925635,0.011307240308313
"goout",0.126963879642944,0.0640944381931028,0.0431046683694936,0.0285396741067248,-0.0639036750144113,0.124560921934027,0.0645684106311221,0.285018714968203,1,0.266993848010015,0.420385745471789,-0.00957725388162992,0.0443022204324878,-0.149103966787707,-0.162250034159733,-0.132791473503329
"Dalc",0.131124604717549,0.0198340985656392,0.00238642940814584,0.138325308989495,-0.19601926349476,0.136046931216546,-0.0775943574069267,0.209000848353201,0.266993848010015,1,0.647544230018009,0.0771795821813299,0.111908026150386,-0.094158791890273,-0.0641201831625344,-0.0546600405667359
"Walc",0.117276052426514,-0.0471234596948513,-0.0126310179464743,0.134115751645286,-0.253784730830283,0.141962029985715,-0.113397308366576,0.147821812839952,0.420385745471789,0.647544230018009,1,0.092476316960734,0.136291101479951,-0.126179208038135,-0.08492735257291,-0.0519393237422462
"health",-0.0621873685174501,-0.0468778294016664,0.0147415372671785,0.00750060603037426,-0.0756158630189092,0.0658272817210175,0.0940557283224219,0.0757333570108621,-0.00957725388162992,0.0771795821813299,0.092476316960734,1,-0.0299367109316893,-0.073172073255304,-0.0977198655399096,-0.0613346048771213
"absences",0.17523007904603,0.100284817687823,0.0244728870159692,-0.0129437751566286,-0.0627001754032398,0.0637258325390598,-0.0443540946040254,-0.0580779220848171,0.0443022204324878,0.111908026150386,0.136291101479951,-0.0299367109316893,1,-0.0310029009490283,-0.0317767036267071,0.0342473161500693
"G1",-0.0640814974470739,0.205340996738588,0.190269935557869,-0.0930399915823215,0.160611915454696,-0.354717613015635,0.0221683156154967,0.0126129302331352,-0.149103966787707,-0.094158791890273,-0.126179208038135,-0.073172073255304,-0.0310029009490283,1,0.852118066364806,0.801467932017414
"G2",-0.14347404903546,0.215527167630903,0.164893393399233,-0.153197963317217,0.13587999921449,-0.355895634552574,-0.0182813471531544,-0.0137771385925635,-0.162250034159733,-0.0641201831625344,-0.08492735257291,-0.0977198655399096,-0.0317767036267071,0.852118066364806,1,0.904867989269301
"G3",-0.16157943813834,0.217147496138606,0.152456938904259,-0.117142052816149,0.0978196896531963,-0.36041494046165,0.0513634288812822,0.011307240308313,-0.132791473503329,-0.0546600405667359,-0.0519393237422462,-0.0613346048771213,0.0342473161500693,0.801467932017414,0.904867989269301,1
